id,answer,image_url,jukugo_right_name,jukugo_bottom_name,jukugo_left_name,jukugo_top_name
1,製,https://quiz-site-ys.s3-ap-northeast-1.amazonaws.com/wadokaichin/1.jpg,製織,製菓,創製,並製
2,蓬,https://quiz-site-ys.s3-ap-northeast-1.amazonaws.com/wadokaichin/2.jpg,蓬蓬,蓬艾,沼蓬,蓬蓬
3,陶,https://quiz-site-ys.s3-ap-northeast-1.amazonaws.com/wadokaichin/3.jpg,陶窯,陶製,和陶,作陶
4,好,https://quiz-site-ys.s3-ap-northeast-1.amazonaws.com/wadokaichin/4.jpg,好投,好事,晴好,絶好
5,導,https://quiz-site-ys.s3-ap-northeast-1.amazonaws.com/wadokaichin/5.jpg,導水,導坑,教導,主導
6,悄,https://quiz-site-ys.s3-ap-northeast-1.amazonaws.com/wadokaichin/6.jpg,悄悄,悄然,悄悄,悄悄
7,吉,https://quiz-site-ys.s3-ap-northeast-1.amazonaws.com/wadokaichin/7.jpg,吉兆,吉所,物吉,士吉
8,押,https://quiz-site-ys.s3-ap-northeast-1.amazonaws.com/wadokaichin/8.jpg,押収,押紙,略押,長押
9,封,https://quiz-site-ys.s3-ap-northeast-1.amazonaws.com/wadokaichin/9.jpg,封皮,封建,大封,陸封
10,祓,https://quiz-site-ys.s3-ap-northeast-1.amazonaws.com/wadokaichin/10.jpg,祓殿,祓川,夕祓,御祓
